Time,Flux,e_Flux
-2081.720596,0.5184428188,0.0222084531
-2081.2216436,0.5257836164,0.0220887939
-2080.7206914,0.426892964,0.0206411251
-2080.2207393,0.5099886525,0.0226160092
-2079.7217875,0.4793315308,0.0210127425
-2079.2208347,0.4673042141,0.0210424847
-2078.7218815,0.5072380261,0.0215408658
-2078.2219301,0.4410981427,0.0219493207
-2077.7209773,0.4585499541,0.0210650153
-2077.2220255,0.4576301344,0.0210309645
-2076.7210726,0.4848192393,0.0211080061
-2076.22112,0.5228981934,0.0216751868
-2075.7221681,0.5441166279,0.022613361
-2075.2212153,0.5988525205,0.0226783636
-2074.7222634,0.6792265128,0.025379352
-2074.2223114,0.7191813071,0.0252599867
-2073.7213592,0.7607022271,0.0259653259
-2073.2224067,0.7384907222,0.0252673287
-2072.7214545,0.7040467252,0.0238519554
-2072.2215019,0.651017546,0.0235070632
-2071.7225494,0.7374905093,0.0255024697
-2071.2215972,0.68521889,0.024232742
-2070.7216452,0.5812697983,0.0218901803
-2070.2226933,0.5234280302,0.0219241715
-2069.7217405,0.5349998556,0.0213115332
-2069.2227874,0.5175442174,0.0217401734
-2068.7218352,0.5576010196,0.0223806592
-2068.2218832,0.4959912627,0.0209770567
-2067.7229313,0.4946199549,0.0213151681
-2067.2219785,0.4573042553,0.0218987607
-2066.7220271,0.5634520268,0.0222942498
-2066.2230746,0.518971788,0.0216678539
-2065.7221224,0.6310800761,0.0245349193
-2065.2231693,0.6763343573,0.023989191
-2064.7222165,0.7069760314,0.0247721466
-2064.2222651,0.6714327165,0.0239915224
-2063.7233126,0.6703914117,0.0243772077
-2063.2223604,0.7412318681,0.0252769449
-2062.7224084,0.7083341844,0.0251776821
-2062.2234553,0.7273887806,0.0245513116
-2061.7225031,0.7409421971,0.0251872931
-2061.222551,0.7134099611,0.0245682454
-2060.7235986,0.7256128546,0.025358953
-2060.2226464,0.6872158004,0.024036123
-2059.7236945,0.7333517948,0.025877963
-2059.2227429,0.6932092448,0.0241833126
-2058.7227903,0.6224840113,0.0234465778
-2058.2238372,0.6639394285,0.0242136285
-2057.7228856,0.6263182344,0.0233470854
-2057.2229329,0.665327685,0.0241596955
-2056.7239805,0.7037233705,0.024411921
-2056.2230283,0.6550931166,0.0237559423
-2055.7240758,0.6405567751,0.0232738246
-2055.2231236,0.7336829635,0.0258993107
-2054.7231709,0.8588976873,0.0279296605
-2054.2242184,0.8505283787,0.0271305267
-2053.7232663,0.8551142948,0.028169785
-2053.2233142,0.8920352483,0.0278873072
-2052.7243617,0.903470735,0.0288434008
-2052.2234095,0.8467662331,0.0277430043
-2051.7244577,0.9114742986,0.0282400809
-2051.2245044,0.9656810097,0.0296896817
-2050.7235522,0.9101118816,0.0285043065
-2050.2246004,0.8462427801,0.0276040497
-2049.7236488,0.8793484599,0.0285234052
-2049.2236955,0.8939554029,0.0280726525
-2048.7247437,0.8327584335,0.026876767
-2048.2237915,0.7951690246,0.0260371891
-2047.7248383,0.7604777533,0.0258170413
-2047.2248863,0.6671605507,0.0240996751
-2046.7239341,0.7182709655,0.0256692275
-2046.2249816,0.6555409401,0.0233975305
-2045.7240294,0.6359082832,0.0239832818
-2045.2240774,0.6019524146,0.0230344423
-2044.7251243,0.7105544737,0.0251894328
-2044.2241721,0.645355443,0.0237484362
-2043.7242201,0.5911335028,0.0229973594
-2043.2252676,0.5947923837,0.0221149853
-2042.7243154,0.4913169899,0.0219555608
-2042.2253629,0.5067659725,0.0207354143
-2041.7244113,0.54288114,0.0220370485
-2041.2244587,0.5865179907,0.0227880266
-2040.7255056,0.4566868874,0.0208179441
-2040.224554,0.5432269653,0.0213312477
-2039.7246014,0.5204051246,0.0220210532
-2039.2256495,0.4883821444,0.0215217731
-2038.7246967,0.5159075466,0.0220494417
-2038.2257448,0.5728307029,0.0222286542
-2037.7247926,0.4912652059,0.021085938
-2037.2248393,0.5545906728,0.0217300201
-2036.7258875,0.4734166654,0.0212107052
-2036.2249353,0.532565555,0.0219086788
-2035.7249833,0.5761586419,0.022570326
-2035.2260308,0.6247753533,0.0229906229
-2034.7250786,0.5419497009,0.0218261384
