VName,Filter,HJD,mag_s,mag_i,e_mag_i,Fref,e_Fref,DFlux,e_DFlux,p
"V1 ",V,2455779.84508,15.36,14.475,0.004,2.3097905E7,9955.0,-2501.9,23060.0,0.3633
"V1 ",V,2455779.84637,15.378,14.493,0.005,2.3097905E7,9955.0,-2277.575,21630.0,0.3185
"V1 ",V,2455779.84778,15.348,14.463,0.004,2.3097905E7,9955.0,-2054.035,19910.0,0.3066
"V1 ",V,2455779.84919,15.354,14.469,0.005,2.3097905E7,9955.0,-1873.94,19065.0,0.276
"V1 ",V,2455779.8506,15.359,14.474,0.004,2.3097905E7,9955.0,-2348.77,20880.0,0.3424
"V1 ",V,2455779.85201,15.365,14.48,0.004,2.3097905E7,9955.0,-2188.535,20035.0,0.3147
"V1 ",V,2455783.92606,14.881,13.994,0.003,2.3097905E7,9955.0,898.28,30045.0,0.4143
"V1 ",V,2455786.88047,14.836,13.949,0.004,2.3097905E7,9955.0,1938.535,51320.0,0.6008
"V1 ",V,2455786.88187,14.832,13.945,0.003,2.3097905E7,9955.0,1996.62,47340.0,0.6002
"V1 ",V,2455786.8834,14.841,13.954,0.004,2.3097905E7,9955.0,1858.39,51920.0,0.5984
"V1 ",V,2455786.88492,14.836,13.949,0.003,2.3097905E7,9955.0,1928.905,48895.0,0.5966
"V1 ",V,2455786.88646,14.846,13.958,0.003,2.3097905E7,9955.0,1791.385,48055.0,0.5958
"V1 ",V,2455786.88798,14.858,13.97,0.003,2.3097905E7,9955.0,1609.17,48300.0,0.5927
"V1 ",V,2455803.74837,15.483,14.599,0.004,2.3097905E7,9955.0,-2735.755,18835.0,0.3172
"V1 ",V,2455803.74954,15.489,14.605,0.004,2.3097905E7,9955.0,-2761.45,18870.0,0.3172
"V1 ",V,2455803.75083,15.492,14.608,0.004,2.3097905E7,9955.0,-2779.025,18820.0,0.3176
"V1 ",V,2455803.75211,15.499,14.615,0.004,2.3097905E7,9955.0,-2805.065,18735.0,0.3175
"V1 ",V,2455803.75341,15.479,14.595,0.004,2.3097905E7,9955.0,-2716.12,18870.0,0.3167
"V1 ",V,2455803.75471,15.48,14.596,0.004,2.3097905E7,9955.0,-2722.605,18915.0,0.3169
"V1 ",V,2456147.82415,15.293,14.407,0.006,2.3097905E7,9955.0,-5824.855,97240.0,0.9978
"V1 ",V,2456147.82598,15.345,14.46,0.007,2.3097905E7,9955.0,-6666.74,101820.0,1.0015
