Time,CRate,e_CRate
-5201.3480002759,0.69999999,0.26457512
-5191.34799982421,0.40000001,0.2
-5181.34800000116,0.60000002,0.24494898
-5171.34800017811,0.40000001,0.2
-5161.34800035506,0.1,0.1
-5151.34799990337,0.89999998,0.30000001
-5141.34800008032,0.2,0.14142135
-5131.34800025728,0.40000001,0.2
-5121.34800043423,0.5,0.2236068
-5111.34799998254,0.30000001,0.17320508
-5101.34800015949,0.1,0.1
-5091.34800033644,0.0,0.0
-5081.34800051339,0.2,0.14142135
-5071.3480000617,0.40000001,0.2
-5061.34800023865,0.2,0.14142135
-5051.3480004156,0.60000002,0.24494898
-5041.34799996391,0.1,0.1
-5031.34800014086,0.30000001,0.17320508
-5021.34800031781,0.30000001,0.17320508
-5011.34800049476,0.40000001,0.2
-5001.34800004307,0.30000001,0.17320508
-4991.34800022002,0.2,0.14142135
-4981.34800039697,0.40000001,0.2
-4971.34799994528,0.40000001,0.2
-4961.34800012223,0.30000001,0.17320508
-4951.34800029918,0.60000002,0.24494898
-4941.34800047614,0.5,0.2236068
-4931.34800002445,0.1,0.1
-4921.3480002014,0.1,0.1
-4911.34800037835,0.0,0.0
-4901.34799992666,0.1,0.1
-4891.34800010361,0.0,0.0
-4881.34800028056,0.1,0.1
-4871.34800045751,0.5,0.2236068
-4861.34800000582,0.40000001,0.2
-4851.34800018277,0.30000001,0.17320508
-4841.34800035972,0.40000001,0.2
-4831.34799990803,0.60000002,0.24494898
-4821.34800008498,0.60000002,0.24494898
-4811.34800026193,0.1,0.1
-4801.34800043888,0.1,0.1
-4791.34799998719,0.30000001,0.17320508
-4781.34800016414,0.40000001,0.2
-4771.3480003411,0.40000001,0.2
-4761.3479998894,0.69999999,0.26457512
-4751.34800006635,0.5,0.2236068
-4741.34800024331,0.2,0.14142135
-4731.34800042026,0.2,0.14142135
-4721.34799996857,0.30000001,0.17320508
-4711.34800014552,0.2,0.14142135
-4701.34800032247,0.2,0.14142135
-4691.34799987078,0.2,0.14142135
-4681.34800004773,0.5,0.2236068
-4671.34800022468,0.40000001,0.2
-4661.34800040163,0.5,0.2236068
-4651.34799994994,0.5,0.2236068
-4641.34800012689,0.2,0.14142135
-4631.34800030384,0.30000001,0.17320508
-4621.34799985215,0.60000002,0.24494898
-4611.3480000291,0.2,0.14142135
-4601.34800020605,0.40000001,0.2
-4591.348000383,0.1,0.1
-4581.34799993131,0.30000001,0.17320508
-4571.34800010826,0.2,0.14142135
-4561.34800028522,0.0,0.0
-4551.34799983352,0.69999999,0.26457512
-4541.34800001047,0.40000001,0.2
-4531.34800018743,0.1,0.1
-4521.34800036438,0.40000001,0.2
-4511.34799991269,0.40000001,0.2
-4501.34800008964,0.30000001,0.17320508
-4491.34800026659,0.2,0.14142135
-4481.34800044354,0.2,0.14142135
-4471.34799999185,0.30000001,0.17320508
-4461.3480001688,0.30000001,0.17320508
-4451.34800034575,0.1,0.1
-1011.34800023865,0.30000001,0.17320508
-1001.3480004156,0.2,0.14142135
-991.347999963909,0.30000001,0.17320508
-981.348000140861,0.30000001,0.17320508
-971.348000317812,0.1,0.1
-961.348000494763,0.30000001,0.17320508
-951.348000043072,0.2,0.14142135
-941.348000220023,0.30000001,0.17320508
-931.348000396974,0.5,0.2236068
-921.347999945283,0.1,0.1
-911.348000122234,0.2,0.14142135
-901.348000299186,0.40000001,0.2
-891.348000476137,0.2,0.14142135
-881.348000024445,0.5,0.2236068
-871.348000201397,0.30000001,0.17320508
-861.348000378348,0.30000001,0.17320508
-851.347999926656,0.1,0.1
-841.348000103608,0.30000001,0.17320508
-831.348000280559,0.0,0.0
-821.34800045751,0.1,0.1
-811.348000005819,0.1,0.1
-801.34800018277,0.0,0.0
-791.348000359721,0.1,0.1
-781.34799990803,0.0,0.0
-771.348000084981,0.0,0.0
-761.348000261933,0.0,0.0
-751.348000438884,0.0,0.0
-741.347999987192,0.0,0.0
-731.348000164144,0.0,0.0
-721.348000341095,0.2,0.14142135
-711.347999889404,0.1,0.1
-701.348000066355,0.30000001,0.17320508
-691.348000243306,0.0,0.0
-681.348000420257,0.30000001,0.17320508
-671.347999968566,0.30000001,0.17320508
-661.348000145517,0.2,0.14142135
-651.348000322469,0.60000002,0.24494898
-641.347999870777,0.0,0.0
-631.348000047728,0.40000001,0.2
-621.34800022468,0.5,0.2236068
-611.348000401631,0.1,0.1
-601.34799994994,0.30000001,0.17320508
-591.348000126891,0.5,0.2236068
-581.348000303842,0.30000001,0.17320508
-571.347999852151,0.40000001,0.2
-561.348000029102,0.2,0.14142135
-551.348000206053,0.60000002,0.24494898
-541.348000383005,0.30000001,0.17320508
-531.347999931313,0.2,0.14142135
-521.348000108264,0.0,0.0
-511.348000285216,0.1,0.1
-501.347999833524,0.30000001,0.17320508
-491.348000010476,0.30000001,0.17320508
-481.348000187427,0.30000001,0.17320508
-471.348000364378,0.0,0.0
-461.347999912687,0.2,0.14142135
-451.348000089638,0.2,0.14142135
-441.348000266589,0.5,0.2236068
-431.348000443541,0.30000001,0.17320508
-421.347999991849,0.2,0.14142135
-411.3480001688,0.2,0.14142135
-401.348000345752,0.5,0.2236068
-391.348000522703,0.2,0.14142135
-381.348000071011,0.30000001,0.17320508
-371.348000247963,0.2,0.14142135
-361.348000424914,0.40000001,0.2
-351.347999973223,0.2,0.14142135
-341.348000150174,0.2,0.14142135
-331.348000327125,0.2,0.14142135
-321.348000504076,0.30000001,0.17320508
-311.348000052385,0.30000001,0.17320508
-301.348000229336,0.60000002,0.24494898
-291.348000406288,0.0,0.0
-281.347999954596,0.30000001,0.17320508
-271.348000131547,0.30000001,0.17320508
-261.348000308499,0.2,0.14142135
-251.34800048545,0.2,0.14142135
-241.348000033759,0.30000001,0.17320508
-231.34800021071,0.69999999,0.26457512
-221.348000387661,0.60000002,0.24494898
-211.34799993597,0.60000002,0.24494898
-201.348000112921,0.2,0.14142135
-191.348000289872,0.0,0.0
-181.348000466824,0.60000002,0.24494898
-171.348000015132,0.60000002,0.24494898
-161.348000192083,0.5,0.2236068
-151.348000369035,0.5,0.2236068
-141.347999917343,0.40000001,0.2
-131.348000094294,0.2,0.14142135
-121.348000271246,0.40000001,0.2
-111.348000448197,0.1,0.1
-101.347999996506,0.1,0.1
-91.348000173457,0.5,0.2236068
-81.3480003504083,0.2,0.14142135
-71.3479998987168,0.30000001,0.17320508
